Alpha[deg],Cl,Cd
-80,-0.29675,1.2137
-70,-0.44588,1.0948
-60,-0.54231,0.93691
-50,-0.56665,0.74557
-40,-0.51293,0.5479
-35,-0.4459,0.43936
-30,-0.37875,0.35531
-25,-0.27205,0.26872
-20,-0.16362,0.1962
-18,-0.11857,0.17136
-16,-0.071734,0.14745
-14,-0.040346,0.12226
-12,-0.035306,0.10584
-10,-0.033038,0.073167
-8,-0.16758,0.042911
-6,-0.065958,0.032741
-4,0.0876,0.02688
-2,0.25783,0.024967
0,0.37848,0.026581
2,0.46317,0.031358
6,0.7029,0.044253
8,0.75145,0.058534
10,0.86663,0.066773
12,0.88224,0.088367
14,0.88573,0.11395
16,0.83049,0.15277
18,0.80882,0.19037
20,0.8309,0.22456
25,0.77931,0.34452
30,0.76735,0.45743
35,0.78776,0.57146
40,0.78173,0.67148
50,0.74898,0.90187
60,0.63701,1.1033
70,0.46909,1.2577
80,0.25375,1.3686
